protein,X60_1,X60_2,X60_3,X60_4,X100_1,X100_2,X100_3,X100_4,X200_1,X200_2,X200_3,X200_4,X300_1,X300_2,X300_3,X300_4,X1000_1,X1000_2,X1000_3,X1000_4,f_value,p_value,q_value,significant
sll0764,5670383.16590472,5451394.4916458,4668003.33188847,5106054.68865783,4408764.18824715,4071409.00593535,4263555.48291544,5237693.13526077,2993853.04132057,1961968.94490064,3726585.54658537,2335340.55887737,2487978.68033854,1925153.79500867,2016791.73932607,1862020.02817573,907489.482433397,716257.269950272,1397158.16288791,598894.171002056,49.335432455642156,1.8594657494936295e-08,1.4410859558575629e-06,Yes
ssl1300,64325.472562400006,135937.414029,60533.6962658,157036.681861,96279.70408099999,94206.84026289999,83925.7369991,596890.140625,345441.74075500004,371616.58113299997,328828.176301,354291.489321,623294.248104,633688.5455380001,694281.9188239999,759973.823662,1063046.32367,1258911.1930200001,1186970.09445,1192860.59625,48.27115401386812,2.1615360984109332e-08,1.5870225564648694e-06,Yes
slr0841,1213745.230821,1210311.938477,1058825.6625,1145254.30085,1315346.033462,1014615.2876200001,1159119.6023549999,876146.931821,3645307.802825,2977303.1422900003,2638589.3815849996,3764016.409262,2825735.847691,3147619.463675,2946751.444793,2926783.042925,4360442.212051,5135840.960576001,3708765.2625,3701861.519639,46.51267098843184,2.7908553545762874e-08,1.9466216098169604e-06,Yes
sll7090,547950.8575609999,499006.51234300004,376344.739851,422579.286878,204497.222868,151148.21932,177454.402038,166436.063903,177519.42623699998,198944.531377,256786.501667,192515.731187,105793.470023,175318.12969,161367.13621700002,146681.443772,109707.996727,93358.42568039999,119321.48463499999,115255.90723900001,45.2297030555316,3.3818594339873085e-08,2.2465209097201406e-06,Yes
sll1583,8845410.54486526,8507670.49376689,7144212.04525466,8523186.94582518,5761214.19561241,6399306.88313726,4961509.00434204,5220669.8697864,5389846.56396849,4598540.74080979,4369633.16617634,3889784.74758376,4369193.78719792,4583108.86751324,4403281.06073852,3872049.37516193,2978579.11718583,1139024.40114042,1925675.00535575,2871993.05216361,43.554755224308295,4.3790021280659325e-08,2.776685440296353e-06,Yes
slr0006,3633796.3809879995,3558655.40625511,2586253.12168719,2818123.87290119,3146719.6996628,2392485.39236872,2475694.82410411,1626338.25207852,6710871.88545787,7312443.08860236,5794795.74326896,7979028.97817387,6179910.91903496,11659193.0848366,8140638.370612599,8653236.38122923,22083993.0734836,13653139.113332199,20679436.545280803,18989753.2771583,42.930030341859116,4.833262003343379e-08,2.8440690022469978e-06,Yes
sll1721,9161530.712739998,10248327.144860001,8834244.03822,8836938.289560001,8248681.35294,7909255.61455,8031899.70373,4925303.750934999,4843270.870730001,2500257.38665,4299367.46206,1873848.8871990002,2500406.7366092997,2060633.828244,1621236.882341,2717350.46713,2091737.9278169998,954075.8243239999,1027481.65843,1398159.668626,42.69372072051805,5.0188320145906006e-08,2.8440690022469978e-06,Yes
slr0552,9791445.62556353,9987219.00942491,8199162.29161874,9032935.18046963,12770003.8409348,8046099.39322429,8655503.85474115,8566718.36592331,13812894.7703695,16658340.024167499,11298236.831784101,17892795.366635002,12249363.637891099,17884059.1678625,16654445.3562578,15122218.6372162,27139677.3838224,26995613.9206927,27008872.0607427,32916793.6462843,42.59725199807081,5.096897853489243e-08,2.8440690022469978e-06,Yes
slr2089,1210960.11361088,2068971.53508378,1869148.14918388,2144548.52632607,1313897.91526805,1081164.54492916,1316031.1355081,1148703.42999431,2831143.80380781,3095084.67369096,2485620.31284068,3326624.33671112,2299453.95389321,3398809.01509825,2803961.14078898,2694065.53627998,4830577.32200248,4182806.32615797,5717968.63966103,4703268.03048368,41.002027117327,6.609957991083382e-08,3.4286888697021506e-06,Yes
sll1452,3727603.4568024003,3614821.89934234,3020510.56380242,4187417.36889483,4856586.94185762,3796145.03704739,4471641.87790875,3157204.48801333,10982594.5518494,11468294.07833,9145752.30302887,13470885.9944981,7638907.81326832,13076581.694233501,11915168.286691802,12088573.954514802,20864059.5635875,15724559.523786701,24256502.837388698,19749125.1556576,40.97816219354693,6.63617200587513e-08,3.4286888697021506e-06,Yes
